set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7027.582,313.99,538.87,372.09,-369.20,-230.85,-168.68,0
7027.614,313.99,538.87,372.09,-369.20,-230.85,-168.68,0
7027.645,321.18,500.82,378.31,-356.04,-233.14,-171.66,0
7027.692,321.18,500.82,378.31,-356.04,-233.14,-171.66,0
7027.739,326.18,477.65,375.75,-341.34,-235.72,-165.01,0
7027.785,326.18,477.65,375.75,-341.34,-235.72,-165.01,0
7027.817,318.20,501.96,407.64,-355.55,-231.91,-187.94,0
7027.864,318.20,501.96,407.64,-355.55,-231.91,-187.94,0
7027.895,312.68,496.64,367.78,-350.07,-234.25,-166.19,0
7027.942,312.68,496.64,367.78,-350.07,-234.25,-166.19,0
7027.989,323.40,489.47,368.94,-346.93,-234.02,-164.52,0
7028.02,323.40,489.47,368.94,-346.93,-234.02,-164.52,0
7028.059,326.57,481.89,384.88,-352.32,-233.53,-179.78,0
7028.106,326.57,481.89,384.88,-352.32,-233.53,-179.78,0
7028.137,320.03,558.10,360.89,-423.25,-235.30,-164.78,0
7028.184,320.03,558.10,360.89,-423.25,-235.30,-164.78,0
7028.215,317.11,1289.70,330.51,-379.28,-236.66,-138.04,807.80994
7028.278,317.11,1289.70,330.51,-379.28,-236.66,-138.04,0
7028.325,310.08,1276.84,354.86,-379.40,-233.37,-164.94,0
7028.356,310.08,1276.84,354.86,-379.40,-233.37,-164.94,0
7028.387,318.33,1276.50,355.60,-371.38,-234.35,-166.58,0
7028.434,318.33,1276.50,355.60,-371.38,-234.35,-166.58,0
7028.481,326.05,1278.63,364.98,-378.20,-235.10,-165.98,0
7028.528,326.05,1278.63,364.98,-378.20,-235.10,-165.98,0
7028.559,314.91,1289.48,351.32,-376.22,-235.39,-156.19,0
7028.606,314.91,1289.48,351.32,-376.22,-235.39,-156.19,0
7028.653,314.95,1263.22,360.81,-369.72,-234.91,-147.57,0
7028.684,314.95,1263.22,360.81,-369.72,-234.91,-147.57,0
7028.716,319.13,1276.82,379.80,-372.79,-235.50,-161.41,0
7028.747,319.13,1276.82,379.80,-372.79,-235.50,-161.41,0
7028.809,321.44,1275.05,391.01,-372.77,-235.88,-165.12,0
7028.856,321.44,1275.05,391.01,-372.77,-235.88,-165.12,0
7028.887,315.11,1280.00,377.96,-381.13,-232.22,-169.21,0
7028.919,315.11,1280.00,377.96,-381.13,-232.22,-169.21,0
7028.95,315.11,1280.00,377.96,-381.13,-232.22,-169.21,0
7028.987,316.23,1280.73,426.42,-376.76,-231.39,-195.67,0
7029.018,316.23,1280.73,426.42,-376.76,-231.39,-195.67,0
