set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8552.672,298.18,514.07,1356.04,0
8552.735,301.63,458.94,1363.03,0
8552.766,301.63,458.94,1363.03,0
8552.797,298.95,447.12,1335.85,0
8552.844,298.95,447.12,1335.85,0
8552.891,302.88,480.77,1327.49,0
8552.938,302.88,480.77,1327.49,0
8552.985,303.54,455.27,1334.61,0
8553.047,303.54,455.27,1334.61,0
8553.078,301.35,525.47,1377.91,0
8553.125,301.35,525.47,1377.91,0
8553.156,302.76,470.48,1348.01,0
8553.199,302.76,470.48,1348.01,0
8553.245,303.65,483.56,1399.73,0
8553.292,303.65,483.56,1399.73,0
8553.324,298.00,545.19,1351.62,0
8553.37,298.00,545.19,1351.62,0
8553.402,300.06,533.40,1321.85,0
8553.449,300.06,533.40,1321.85,0
8553.48,303.82,521.27,1358.95,0
8553.542,303.82,521.27,1358.95,0
8553.574,304.66,487.00,1384.44,0
8553.62,304.66,487.00,1384.44,0
8553.652,301.17,475.89,1331.21,0
8553.683,301.17,475.89,1331.21,0
8553.73,302.96,450.62,1341.16,0
8553.777,302.96,450.62,1341.16,0
8553.824,299.53,519.30,1330.08,0
8553.855,299.53,519.30,1330.08,0
8553.902,303.30,497.41,1361.56,0
8553.933,303.30,497.41,1361.56,0
8553.964,301.42,514.34,1289.23,0
8554.011,301.42,514.34,1289.23,0
8554.058,301.80,490.31,1325.99,0
8554.089,301.80,490.31,1325.99,0
8554.12,301.80,490.31,1325.99,0
8554.167,302.89,482.16,1339.32,0
8554.199,302.89,482.16,1339.32,0
8554.245,299.04,485.99,1340.87,0
8554.277,299.04,485.99,1340.87,0
8554.324,299.19,477.69,1302.72,0
8554.355,299.19,477.69,1302.72,0
8554.386,298.72,506.59,1346.96,0
8554.433,298.72,506.59,1346.96,0
8554.464,303.34,492.12,1323.34,0
8554.495,303.34,492.12,1323.34,0
8554.527,303.34,492.12,1323.34,0
8554.589,301.23,500.05,1341.39,0
8554.636,304.10,492.27,1328.12,0
8554.683,304.10,492.27,1328.12,0
8554.714,299.86,520.14,1334.45,0
