TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3
53486,328.828063964844,328.828063964844,328.828063964844,328.828063964844,328.828063964844,328.828063964844
53486,140.420776367188,140.420776367188,140.420776367188,140.420776367188,140.420776367188,140.420776367188
53486,591.015441894531,591.015441894531,591.015441894531,591.015441894531,591.015441894531,591.015441894531
53486,-222.341293334961,-222.341293334961,-222.341293334961,-222.341293334961,-222.341293334961,-222.341293334961
53486,-143.044937133789,-143.044937133789,-143.044937133789,-143.044937133789,-143.044937133789,-143.044937133789
53486,-212.51286315918,-212.51286315918,-212.51286315918,-212.51286315918,-212.51286315918,-212.51286315918
53486,289.963623046875,289.963623046875,289.963623046875,289.963623046875,289.963623046875,289.963623046875
53486,136.822616577148,136.822616577148,136.822616577148,136.822616577148,136.822616577148,136.822616577148
53486,597.680236816406,597.680236816406,597.680236816406,597.680236816406,597.680236816406,597.680236816406
53486,-205.500747680664,-205.500747680664,-205.500747680664,-205.500747680664,-205.500747680664,-205.500747680664
53486,-139.982513427734,-139.982513427734,-139.982513427734,-139.982513427734,-139.982513427734,-139.982513427734
53486,-211.716201782227,-211.716201782227,-211.716201782227,-211.716201782227,-211.716201782227,-211.716201782227
53486,264.801513671875,264.801513671875,264.801513671875,264.801513671875,264.801513671875,264.801513671875
53486,139.717330932617,139.717330932617,139.717330932617,139.717330932617,139.717330932617,139.717330932617
53486,607.948852539063,607.948852539063,607.948852539063,607.948852539063,607.948852539063,607.948852539063
53486,-197.717086791992,-197.717086791992,-197.717086791992,-197.717086791992,-197.717086791992,-197.717086791992
53486,-140.041641235352,-140.041641235352,-140.041641235352,-140.041641235352,-140.041641235352,-140.041641235352
53486,-214.417602539063,-214.417602539063,-214.417602539063,-214.417602539063,-214.417602539063,-214.417602539063
53487,271.461944580078,271.461944580078,271.461944580078,271.461944580078,271.461944580078,271.461944580078
53487,137.308380126953,137.308380126953,137.308380126953,137.308380126953,137.308380126953,137.308380126953
53487,606.0712890625,606.0712890625,606.0712890625,606.0712890625,606.0712890625,606.0712890625
53487,-199.719192504883,-199.719192504883,-199.719192504883,-199.719192504883,-199.719192504883,-199.719192504883
53487,-141.819564819336,-141.819564819336,-141.819564819336,-141.819564819336,-141.819564819336,-141.819564819336
53487,-213.549682617188,-213.549682617188,-213.549682617188,-213.549682617188,-213.549682617188,-213.549682617188
53487,261.748321533203,261.748321533203,261.748321533203,261.748321533203,261.748321533203,261.748321533203
53487,138.104370117188,138.104370117188,138.104370117188,138.104370117188,138.104370117188,138.104370117188
53487,596.680541992188,596.680541992188,596.680541992188,596.680541992188,596.680541992188,596.680541992188
53487,-197.462310791016,-197.462310791016,-197.462310791016,-197.462310791016,-197.462310791016,-197.462310791016
53487,-137.95068359375,-137.95068359375,-137.95068359375,-137.95068359375,-137.95068359375,-137.95068359375
53487,-209.840408325195,-209.840408325195,-209.840408325195,-209.840408325195,-209.840408325195,-209.840408325195
53487,275.742340087891,275.742340087891,275.742340087891,275.742340087891,275.742340087891,275.742340087891
53487,137.129104614258,137.129104614258,137.129104614258,137.129104614258,137.129104614258,137.129104614258
53487,594.318176269531,594.318176269531,594.318176269531,594.318176269531,594.318176269531,594.318176269531
53487,-203.595108032227,-203.595108032227,-203.595108032227,-203.595108032227,-203.595108032227,-203.595108032227
53487,-138.304565429688,-138.304565429688,-138.304565429688,-138.304565429688,-138.304565429688,-138.304565429688
53487,-211.390563964844,-211.390563964844,-211.390563964844,-211.390563964844,-211.390563964844,-211.390563964844
53487,229.337951660156,229.337951660156,229.337951660156,229.337951660156,229.337951660156,229.337951660156
53487,141.394409179688,141.394409179688,141.394409179688,141.394409179688,141.394409179688,141.394409179688
53487,592.614196777344,592.614196777344,592.614196777344,592.614196777344,592.614196777344,592.614196777344
53487,-191.466735839844,-191.466735839844,-191.466735839844,-191.466735839844,-191.466735839844,-191.466735839844
53487,-147.568542480469,-147.568542480469,-147.568542480469,-147.568542480469,-147.568542480469,-147.568542480469
53487,-213.149597167969,-213.149597167969,-213.149597167969,-213.149597167969,-213.149597167969,-213.149597167969
53487,225.85041809082,225.85041809082,225.85041809082,225.85041809082,225.85041809082,225.85041809082
53487,136.803131103516,136.803131103516,136.803131103516,136.803131103516,136.803131103516,136.803131103516
53487,590.619995117188,590.619995117188,590.619995117188,590.619995117188,590.619995117188,590.619995117188
53487,-191.301132202148,-191.301132202148,-191.301132202148,-191.301132202148,-191.301132202148,-191.301132202148
53487,-138.197494506836,-138.197494506836,-138.197494506836,-138.197494506836,-138.197494506836,-138.197494506836
53487,-216.125823974609,-216.125823974609,-216.125823974609,-216.125823974609,-216.125823974609,-216.125823974609
53487,242.567108154297,242.567108154297,242.567108154297,242.567108154297,242.567108154297,242.567108154297
53487,138.303863525391,138.303863525391,138.303863525391,138.303863525391,138.303863525391,138.303863525391
53487,590.52880859375,590.52880859375,590.52880859375,590.52880859375,590.52880859375,590.52880859375
53487,-200.354751586914,-200.354751586914,-200.354751586914,-200.354751586914,-200.354751586914,-200.354751586914
53487,-140.466583251953,-140.466583251953,-140.466583251953,-140.466583251953,-140.466583251953,-140.466583251953
53487,-212.589172363281,-212.589172363281,-212.589172363281,-212.589172363281,-212.589172363281,-212.589172363281
53487,263.632934570313,263.632934570313,263.632934570313,263.632934570313,263.632934570313,263.632934570313
53487,136.979110717773,136.979110717773,136.979110717773,136.979110717773,136.979110717773,136.979110717773
53487,591.209655761719,591.209655761719,591.209655761719,591.209655761719,591.209655761719,591.209655761719
53487,-205.963119506836,-205.963119506836,-205.963119506836,-205.963119506836,-205.963119506836,-205.963119506836
53487,-138.981262207031,-138.981262207031,-138.981262207031,-138.981262207031,-138.981262207031,-138.981262207031
53487,-210.58088684082,-210.58088684082,-210.58088684082,-210.58088684082,-210.58088684082,-210.58088684082
53487,258.422607421875,258.422607421875,258.422607421875,258.422607421875,258.422607421875,258.422607421875
53487,139.133987426758,139.133987426758,139.133987426758,139.133987426758,139.133987426758,139.133987426758
53487,599.945861816406,599.945861816406,599.945861816406,599.945861816406,599.945861816406,599.945861816406
53487,-203.218032836914,-203.218032836914,-203.218032836914,-203.218032836914,-203.218032836914,-203.218032836914
53487,-138.780380249023,-138.780380249023,-138.780380249023,-138.780380249023,-138.780380249023,-138.780380249023
53487,-213.877960205078,-213.877960205078,-213.877960205078,-213.877960205078,-213.877960205078,-213.877960205078
53487,228.508270263672,228.508270263672,228.508270263672,228.508270263672,228.508270263672,228.508270263672
53487,136.474227905273,136.474227905273,136.474227905273,136.474227905273,136.474227905273,136.474227905273
53487,589.139709472656,589.139709472656,589.139709472656,589.139709472656,589.139709472656,589.139709472656
53487,-190.673828125,-190.673828125,-190.673828125,-190.673828125,-190.673828125,-190.673828125
53487,-137.464904785156,-137.464904785156,-137.464904785156,-137.464904785156,-137.464904785156,-137.464904785156
53487,-214.438293457031,-214.438293457031,-214.438293457031,-214.438293457031,-214.438293457031,-214.438293457031
53488,243.873077392578,243.873077392578,243.873077392578,243.873077392578,243.873077392578,243.873077392578
53488,136.437393188477,136.437393188477,136.437393188477,136.437393188477,136.437393188477,136.437393188477
53488,588.161560058594,588.161560058594,588.161560058594,588.161560058594,588.161560058594,588.161560058594
53488,-195.664916992188,-195.664916992188,-195.664916992188,-195.664916992188,-195.664916992188,-195.664916992188
53488,-142.094635009766,-142.094635009766,-142.094635009766,-142.094635009766,-142.094635009766,-142.094635009766
53488,-214.178298950195,-214.178298950195,-214.178298950195,-214.178298950195,-214.178298950195,-214.178298950195
53488,225.276840209961,225.276840209961,225.276840209961,225.276840209961,225.276840209961,225.276840209961
53488,141.829345703125,141.829345703125,141.829345703125,141.829345703125,141.829345703125,141.829345703125
53488,603.823669433594,603.823669433594,603.823669433594,603.823669433594,603.823669433594,603.823669433594
53488,-189.605331420898,-189.605331420898,-189.605331420898,-189.605331420898,-189.605331420898,-189.605331420898
