set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
9136.525,407.72,466.51,382.93,0
9136.556,407.72,466.51,382.93,0
9136.618,403.94,482.95,332.16,0
9136.65,403.94,482.95,332.16,0
9136.696,399.61,506.20,358.83,0
9136.743,399.61,506.20,358.83,0
9136.79,405.46,483.92,392.95,0
9136.821,405.46,483.92,392.95,0
9136.868,403.21,469.90,385.48,0
9136.9,403.21,469.90,385.48,0
9136.946,399.27,480.53,361.68,0
9136.978,399.27,480.53,361.68,0
9137.04,404.16,464.74,404.25,0
9137.087,404.16,464.74,404.25,0
9137.118,402.38,483.10,382.25,0
9137.15,402.38,483.10,382.25,0
9137.192,399.69,494.90,354.85,0
9137.223,399.69,494.90,354.85,0
9137.27,404.94,471.22,364.96,0
9137.301,404.94,471.22,364.96,0
9137.364,403.90,483.48,398.96,0
9137.395,403.90,483.48,398.96,0
9137.442,400.32,496.17,379.35,0
9137.473,400.32,496.17,379.35,0
9137.52,405.89,470.86,400.71,0
9137.551,405.89,470.86,400.71,0
9137.598,414.11,458.65,373.18,0
9137.645,414.11,458.65,373.18,0
9137.676,400.50,492.96,401.29,0
9137.723,400.50,492.96,401.29,0
9137.754,403.85,473.29,356.80,0
9137.801,403.85,473.29,356.80,0
9137.832,408.14,438.80,385.33,0
9137.879,408.14,438.80,385.33,0
9137.926,401.52,506.01,364.32,0
9137.957,401.52,506.01,364.32,0
9137.989,401.52,506.01,364.32,0
9138.035,406.45,456.15,368.14,0
9138.067,406.45,456.15,368.14,0
9138.098,401.74,489.16,389.80,0
9138.146,401.74,489.16,389.80,0
9138.177,400.51,491.93,387.67,0
9138.224,400.51,491.93,387.67,0
9138.255,407.69,462.76,932.64,0
9138.302,407.69,462.76,932.64,0
9138.364,396.42,509.49,963.02,598.7
9138.396,396.42,509.49,963.02,0
9138.427,405.76,464.98,835.86,0
9138.474,405.76,464.98,835.86,0
9138.505,402.35,506.63,740.11,0
9138.552,402.35,506.63,740.11,0
9138.599,398.35,495.50,640.23,0
9138.63,398.35,495.50,640.23,0
9138.661,398.35,495.50,640.23,0
9138.708,395.30,507.31,602.04,0
9138.739,395.30,507.31,602.04,0
9138.771,402.62,484.67,654.34,0
9138.817,402.62,484.67,654.34,0
9138.864,400.03,494.45,614.55,0
9138.911,400.03,494.45,614.55,0
9138.942,403.17,502.09,647.33,0
9138.989,403.17,502.09,647.33,0
9139.021,398.12,508.86,575.32,0
9139.067,398.12,508.86,575.32,0
9139.099,395.83,523.23,589.37,0
9139.146,395.83,523.23,589.37,0
9139.188,398.11,506.58,568.64,0
9139.234,398.11,506.58,568.64,0
9139.266,400.62,511.35,587.20,0
9139.297,400.62,511.35,587.20,0
9139.344,400.62,511.35,587.20,0
9139.391,399.02,526.12,603.42,0
9139.438,399.02,526.12,603.42,0
9139.469,406.66,450.97,626.84,0
9139.516,406.66,450.97,626.84,0
9139.547,400.77,504.20,598.47,0
9139.594,400.77,504.20,598.47,0
9139.625,403.66,485.11,640.82,0
9139.672,403.66,485.11,640.82,0
9139.703,400.64,497.04,604.91,0
9139.766,400.64,497.04,604.91,0
9139.797,399.57,496.60,575.73,0
9139.844,399.57,496.60,575.73,0
9139.875,401.76,479.81,615.30,0
9139.938,400.43,486.82,627.61,0
9139.969,400.43,486.82,627.61,0
9140.016,400.43,486.82,627.61,0
9140.047,399.61,483.97,569.32,0
9140.094,399.61,483.97,569.32,0
9140.125,397.69,529.28,587.39,0
9140.188,397.69,529.28,587.39,0
9140.219,404.47,472.82,642.95,0
9140.266,404.47,472.82,642.95,0
9140.297,414.35,461.07,640.51,0
9140.344,414.35,461.07,640.51,0
9140.375,400.35,503.46,601.95,0
9140.422,400.35,503.46,601.95,0
9140.453,405.36,476.89,602.27,0
9140.5,405.36,476.89,602.27,0
9140.531,401.64,455.01,587.15,0
9140.578,401.64,455.01,587.15,0

e
9136.525,407.72,466.51,382.93,0
9136.556,407.72,466.51,382.93,0
9136.618,403.94,482.95,332.16,0
9136.65,403.94,482.95,332.16,0
9136.696,399.61,506.20,358.83,0
9136.743,399.61,506.20,358.83,0
9136.79,405.46,483.92,392.95,0
9136.821,405.46,483.92,392.95,0
9136.868,403.21,469.90,385.48,0
9136.9,403.21,469.90,385.48,0
9136.946,399.27,480.53,361.68,0
9136.978,399.27,480.53,361.68,0
9137.04,404.16,464.74,404.25,0
9137.087,404.16,464.74,404.25,0
9137.118,402.38,483.10,382.25,0
9137.15,402.38,483.10,382.25,0
9137.192,399.69,494.90,354.85,0
9137.223,399.69,494.90,354.85,0
9137.27,404.94,471.22,364.96,0
9137.301,404.94,471.22,364.96,0
9137.364,403.90,483.48,398.96,0
9137.395,403.90,483.48,398.96,0
9137.442,400.32,496.17,379.35,0
9137.473,400.32,496.17,379.35,0
9137.52,405.89,470.86,400.71,0
9137.551,405.89,470.86,400.71,0
9137.598,414.11,458.65,373.18,0
9137.645,414.11,458.65,373.18,0
9137.676,400.50,492.96,401.29,0
9137.723,400.50,492.96,401.29,0
9137.754,403.85,473.29,356.80,0
9137.801,403.85,473.29,356.80,0
9137.832,408.14,438.80,385.33,0
9137.879,408.14,438.80,385.33,0
9137.926,401.52,506.01,364.32,0
9137.957,401.52,506.01,364.32,0
9137.989,401.52,506.01,364.32,0
9138.035,406.45,456.15,368.14,0
9138.067,406.45,456.15,368.14,0
9138.098,401.74,489.16,389.80,0
9138.146,401.74,489.16,389.80,0
9138.177,400.51,491.93,387.67,0
9138.224,400.51,491.93,387.67,0
9138.255,407.69,462.76,932.64,0
9138.302,407.69,462.76,932.64,0
9138.364,396.42,509.49,963.02,598.7
9138.396,396.42,509.49,963.02,0
9138.427,405.76,464.98,835.86,0
9138.474,405.76,464.98,835.86,0
9138.505,402.35,506.63,740.11,0
9138.552,402.35,506.63,740.11,0
9138.599,398.35,495.50,640.23,0
9138.63,398.35,495.50,640.23,0
9138.661,398.35,495.50,640.23,0
9138.708,395.30,507.31,602.04,0
9138.739,395.30,507.31,602.04,0
9138.771,402.62,484.67,654.34,0
9138.817,402.62,484.67,654.34,0
9138.864,400.03,494.45,614.55,0
9138.911,400.03,494.45,614.55,0
9138.942,403.17,502.09,647.33,0
9138.989,403.17,502.09,647.33,0
9139.021,398.12,508.86,575.32,0
9139.067,398.12,508.86,575.32,0
9139.099,395.83,523.23,589.37,0
9139.146,395.83,523.23,589.37,0
9139.188,398.11,506.58,568.64,0
9139.234,398.11,506.58,568.64,0
9139.266,400.62,511.35,587.20,0
9139.297,400.62,511.35,587.20,0
9139.344,400.62,511.35,587.20,0
9139.391,399.02,526.12,603.42,0
9139.438,399.02,526.12,603.42,0
9139.469,406.66,450.97,626.84,0
9139.516,406.66,450.97,626.84,0
9139.547,400.77,504.20,598.47,0
9139.594,400.77,504.20,598.47,0
9139.625,403.66,485.11,640.82,0
9139.672,403.66,485.11,640.82,0
9139.703,400.64,497.04,604.91,0
9139.766,400.64,497.04,604.91,0
9139.797,399.57,496.60,575.73,0
9139.844,399.57,496.60,575.73,0
9139.875,401.76,479.81,615.30,0
9139.938,400.43,486.82,627.61,0
9139.969,400.43,486.82,627.61,0
9140.016,400.43,486.82,627.61,0
9140.047,399.61,483.97,569.32,0
9140.094,399.61,483.97,569.32,0
9140.125,397.69,529.28,587.39,0
9140.188,397.69,529.28,587.39,0
9140.219,404.47,472.82,642.95,0
9140.266,404.47,472.82,642.95,0
9140.297,414.35,461.07,640.51,0
9140.344,414.35,461.07,640.51,0
9140.375,400.35,503.46,601.95,0
9140.422,400.35,503.46,601.95,0
9140.453,405.36,476.89,602.27,0
9140.5,405.36,476.89,602.27,0
9140.531,401.64,455.01,587.15,0
9140.578,401.64,455.01,587.15,0

e
9136.525,407.72,466.51,382.93,0
9136.556,407.72,466.51,382.93,0
9136.618,403.94,482.95,332.16,0
9136.65,403.94,482.95,332.16,0
9136.696,399.61,506.20,358.83,0
9136.743,399.61,506.20,358.83,0
9136.79,405.46,483.92,392.95,0
9136.821,405.46,483.92,392.95,0
9136.868,403.21,469.90,385.48,0
9136.9,403.21,469.90,385.48,0
9136.946,399.27,480.53,361.68,0
9136.978,399.27,480.53,361.68,0
9137.04,404.16,464.74,404.25,0
9137.087,404.16,464.74,404.25,0
9137.118,402.38,483.10,382.25,0
9137.15,402.38,483.10,382.25,0
9137.192,399.69,494.90,354.85,0
9137.223,399.69,494.90,354.85,0
9137.27,404.94,471.22,364.96,0
9137.301,404.94,471.22,364.96,0
9137.364,403.90,483.48,398.96,0
9137.395,403.90,483.48,398.96,0
9137.442,400.32,496.17,379.35,0
9137.473,400.32,496.17,379.35,0
9137.52,405.89,470.86,400.71,0
9137.551,405.89,470.86,400.71,0
9137.598,414.11,458.65,373.18,0
9137.645,414.11,458.65,373.18,0
9137.676,400.50,492.96,401.29,0
9137.723,400.50,492.96,401.29,0
9137.754,403.85,473.29,356.80,0
9137.801,403.85,473.29,356.80,0
9137.832,408.14,438.80,385.33,0
9137.879,408.14,438.80,385.33,0
9137.926,401.52,506.01,364.32,0
9137.957,401.52,506.01,364.32,0
9137.989,401.52,506.01,364.32,0
9138.035,406.45,456.15,368.14,0
9138.067,406.45,456.15,368.14,0
9138.098,401.74,489.16,389.80,0
9138.146,401.74,489.16,389.80,0
9138.177,400.51,491.93,387.67,0
9138.224,400.51,491.93,387.67,0
9138.255,407.69,462.76,932.64,0
9138.302,407.69,462.76,932.64,0
9138.364,396.42,509.49,963.02,598.7
9138.396,396.42,509.49,963.02,0
9138.427,405.76,464.98,835.86,0
9138.474,405.76,464.98,835.86,0
9138.505,402.35,506.63,740.11,0
9138.552,402.35,506.63,740.11,0
9138.599,398.35,495.50,640.23,0
9138.63,398.35,495.50,640.23,0
9138.661,398.35,495.50,640.23,0
9138.708,395.30,507.31,602.04,0
9138.739,395.30,507.31,602.04,0
9138.771,402.62,484.67,654.34,0
9138.817,402.62,484.67,654.34,0
9138.864,400.03,494.45,614.55,0
9138.911,400.03,494.45,614.55,0
9138.942,403.17,502.09,647.33,0
9138.989,403.17,502.09,647.33,0
9139.021,398.12,508.86,575.32,0
9139.067,398.12,508.86,575.32,0
9139.099,395.83,523.23,589.37,0
