set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
7819.562,323.00,472.25,435.56,0
7819.593,323.13,448.35,411.28,0
7819.64,323.13,448.35,411.28,0
7819.671,316.40,482.17,382.44,0
7819.707,316.40,482.17,382.44,0
7819.75,321.70,486.97,405.31,0
7819.797,321.70,486.97,405.31,0
7819.844,315.30,496.98,404.85,0
7819.875,315.30,496.98,404.85,0
7819.922,326.10,432.40,437.52,0
7819.953,326.10,432.40,437.52,0
7819.984,315.74,508.88,376.32,0
7820.031,315.74,508.88,376.32,0
7820.062,316.46,510.83,425.35,0
7820.109,316.46,510.83,425.35,0
7820.156,323.67,463.87,411.58,0
7820.198,323.67,463.87,411.58,0
7820.23,319.36,456.37,391.82,0
7820.277,319.36,456.37,391.82,0
7820.323,319.48,491.48,418.69,0
7820.37,319.48,491.48,418.69,0
7820.402,323.89,466.87,406.89,0
7820.448,323.89,466.87,406.89,0
7820.495,321.68,455.64,400.36,0
7820.527,321.68,455.64,400.36,0
7820.573,322.02,471.35,420.55,0
7820.62,322.02,471.35,420.55,0
7820.652,315.35,473.05,397.01,0
7820.683,315.35,473.05,397.01,0
7820.73,315.35,473.05,397.01,0
7820.761,330.27,482.20,411.00,0
7820.809,330.27,482.20,411.00,0
7820.855,332.04,466.22,412.39,0
7820.887,332.04,466.22,412.39,0
7820.918,337.12,465.74,410.95,0
7820.965,337.12,465.74,410.95,0
7820.996,326.42,476.58,425.95,0
7821.043,326.42,476.58,425.95,0
7821.074,317.41,483.90,395.86,0
7821.137,317.41,483.90,395.86,0
7821.168,322.61,479.48,401.42,0
7821.215,322.61,479.48,401.42,0
7821.246,332.23,471.23,406.81,0
7821.293,332.23,471.23,406.81,0
7821.324,320.48,485.53,414.94,0
7821.355,320.48,485.53,414.94,0
7821.402,329.23,462.48,396.79,0
7821.434,329.23,462.48,396.79,0
7821.481,329.23,462.48,396.79,0
7821.512,335.93,464.13,411.08,0
7821.559,335.93,464.13,411.08,0
7821.59,319.46,475.47,399.70,0
7821.652,319.46,475.47,399.70,0
7821.699,319.65,473.74,393.12,0
7821.731,315.98,481.21,407.01,0
7821.766,315.98,481.21,407.01,0
7821.811,315.98,481.21,407.01,0
7821.858,329.02,508.06,384.65,0
7821.905,326.62,426.10,402.58,0
7821.952,326.62,426.10,402.58,0
7821.983,323.65,445.64,432.85,0
7822.014,323.65,445.64,432.85,0
7822.061,323.65,445.64,432.85,0
7822.092,320.50,465.26,380.93,0
7822.124,320.50,465.26,380.93,0
7822.197,318.13,433.53,389.21,0
7822.228,323.75,439.57,440.49,0
7822.275,323.75,439.57,440.49,0
7822.322,317.85,479.71,442.16,0
7822.353,317.85,479.71,442.16,0
7822.4,315.05,486.12,407.02,0
7822.447,315.05,486.12,407.02,0
7822.478,319.55,465.00,411.55,0
7822.51,319.55,465.00,411.55,0
7822.557,319.55,465.00,411.55,0
7822.588,325.16,443.67,398.98,0
7822.619,325.16,443.67,398.98,0
7822.666,313.42,483.29,410.77,0
7822.713,313.42,483.29,410.77,0
7822.76,315.45,476.70,410.36,0
7822.791,315.45,476.70,410.36,0
7822.822,315.47,476.89,414.41,0
7822.853,315.47,476.89,414.41,0
7822.9,315.47,476.89,414.41,0
7822.932,321.00,466.43,426.72,0
7822.963,321.00,466.43,426.72,0
7823.01,335.40,479.90,401.80,0
7823.041,335.40,479.90,401.80,0
7823.088,328.11,458.58,389.23,0
7823.119,328.11,458.58,389.23,0
