set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7200.752,317.01,1301.48,473.40,-381.33,-231.04,-203.22,0
7200.783,322.66,1255.47,411.69,-364.46,-237.91,-170.40,0
7200.83,322.66,1255.47,411.69,-364.46,-237.91,-170.40,0
7200.861,311.25,1306.06,417.05,-389.61,-234.41,-175.98,0
7200.908,311.25,1306.06,417.05,-389.61,-234.41,-175.98,0
7200.955,314.57,1285.52,447.69,-381.19,-233.40,-193.28,0
7201.002,314.57,1285.52,447.69,-381.19,-233.40,-193.28,0
7201.033,317.03,1300.80,430.73,-384.88,-236.22,-190.95,0
7201.08,317.03,1300.80,430.73,-384.88,-236.22,-190.95,0
7201.111,319.60,1296.64,451.11,-381.52,-235.60,-193.12,0
7201.155,319.60,1296.64,451.11,-381.52,-235.60,-193.12,0
7201.198,319.60,1296.64,451.11,-381.52,-235.60,-193.12,0
7201.245,319.40,1276.22,458.01,-374.51,-238.64,-182.77,0
7201.292,311.34,1317.06,428.78,-395.10,-234.32,-178.57,0
7201.339,311.34,1317.06,428.78,-395.10,-234.32,-178.57,0
7201.386,316.87,1278.29,468.98,-376.28,-232.55,-210.85,0
7201.432,316.87,1278.29,468.98,-376.28,-232.55,-210.85,0
7201.495,314.23,1306.68,450.94,-391.05,-233.00,-197.77,0
7201.542,314.19,1315.72,444.45,-388.21,-234.07,-187.19,0
7201.589,314.19,1315.72,444.45,-388.21,-234.07,-187.19,0
7201.636,315.60,1278.02,442.57,-375.98,-236.09,-191.27,0
7201.682,315.60,1278.02,442.57,-375.98,-236.09,-191.27,0
7201.714,319.47,1267.14,430.39,-366.92,-236.45,-188.47,0
7201.761,319.47,1267.14,430.39,-366.92,-236.45,-188.47,0
7201.807,319.35,1286.86,430.13,-380.51,-238.53,-186.11,0
7201.854,319.35,1286.86,430.13,-380.51,-238.53,-186.11,0
7201.917,312.41,1311.38,415.86,-391.67,-235.08,-179.33,0
7201.964,318.42,1269.33,448.59,-366.91,-237.08,-181.50,0
7202.011,318.42,1269.33,448.59,-366.91,-237.08,-181.50,0
7202.057,311.63,1313.21,446.88,-386.44,-234.46,-179.99,0
7202.104,311.63,1313.21,446.88,-386.44,-234.46,-179.99,0
7202.151,318.72,1243.34,479.48,-352.44,-236.58,-189.01,0
7202.193,318.72,1243.34,479.48,-352.44,-236.58,-189.01,0
7202.256,317.08,1308.84,435.83,-396.80,-234.05,-191.23,0
7202.287,315.78,1321.88,445.74,-398.25,-234.55,-193.80,0
7202.318,315.78,1321.88,445.74,-398.25,-234.55,-193.80,0
7202.365,316.54,1278.70,448.98,-377.99,-236.23,-198.99,0
7202.412,316.54,1278.70,448.98,-377.99,-236.23,-198.99,0
7202.459,315.56,1274.81,440.15,-372.31,-235.40,-191.39,0
7202.506,315.56,1274.81,440.15,-372.31,-235.40,-191.39,0
7202.568,319.44,1247.60,405.54,-364.17,-238.59,-165.60,0
7202.615,319.44,1247.60,405.54,-364.17,-238.59,-165.60,0
7202.646,316.27,1308.49,481.40,-390.71,-231.09,-208.85,0
7202.693,316.27,1308.49,481.40,-390.71,-231.09,-208.85,0
7202.74,319.42,1278.04,489.59,-379.94,-232.35,-217.89,0
7202.787,313.82,1283.31,435.69,-379.36,-234.70,-188.72,0
7202.834,313.82,1283.31,435.69,-379.36,-234.70,-188.72,0
7202.896,317.05,1274.39,427.44,-375.87,-235.95,-187.88,0
7202.928,317.05,1274.39,427.44,-375.87,-235.95,-187.88,0
7202.975,318.93,1241.64,397.79,-364.51,-239.34,-164.18,0
7203.021,318.93,1241.64,397.79,-364.51,-239.34,-164.18,0
7203.068,317.00,1281.48,458.73,-376.42,-233.67,-205.84,0
7203.1,317.00,1281.48,458.73,-376.42,-233.67,-205.84,0
7203.146,317.25,1280.95,421.99,-379.11,-237.41,-193.44,0
7203.178,317.25,1280.95,421.99,-379.11,-237.41,-193.44,0
7203.225,323.81,1296.41,472.60,-387.65,-232.84,-213.20,0
7203.271,323.81,1296.41,472.60,-387.65,-232.84,-213.20,0
7203.365,313.17,1309.23,444.31,-384.56,-235.58,-193.97,0
7203.396,316.21,1270.92,451.73,-375.87,-237.12,-189.66,0
7203.428,316.21,1270.92,451.73,-375.87,-237.12,-189.66,0
7203.475,320.13,1304.19,479.34,-387.34,-234.76,-201.21,0
7203.521,320.13,1304.19,479.34,-387.34,-234.76,-201.21,0
7203.568,328.22,1261.99,468.68,-368.68,-234.07,-209.02,0
7203.615,328.22,1261.99,468.68,-368.68,-234.07,-209.02,0
7203.662,321.50,1267.65,430.98,-376.65,-234.50,-189.22,0
7203.693,320.82,1272.63,477.85,-372.21,-232.13,-209.20,0
7203.74,320.82,1272.63,477.85,-372.21,-232.13,-209.20,0
7203.803,315.77,1283.11,432.97,-376.51,-232.95,-186.53,0
7203.85,315.77,1283.11,432.97,-376.51,-232.95,-186.53,0
7203.881,321.75,1266.29,399.28,-374.29,-237.88,-171.85,0
7203.928,321.75,1266.29,399.28,-374.29,-237.88,-171.85,0
7203.975,324.15,1271.14,434.31,-373.51,-237.30,-190.37,0
7204.022,324.15,1271.14,434.31,-373.51,-237.30,-190.37,0
7204.053,315.95,1247.11,437.34,-365.98,-236.49,-171.32,0
7204.1,315.95,1247.11,437.34,-365.98,-236.49,-171.32,0
7204.147,319.70,1235.06,470.14,-356.25,-236.31,-193.38,0
7204.188,319.70,1235.06,470.14,-356.25,-236.31,-193.38,0
7204.235,319.29,1274.66,487.84,-373.27,-235.76,-200.18,0
7204.282,319.29,1274.66,487.84,-373.27,-235.76,-200.18,0
7204.329,320.16,1316.36,496.19,-393.28,-233.42,-202.04,0
7204.376,324.30,1267.51,473.09,-369.98,-234.63,-210.29,0
7204.423,324.30,1267.51,473.09,-369.98,-234.63,-210.29,0
7204.485,316.99,1280.63,444.77,-391.22,-235.46,-182.52,0
7204.532,316.99,1280.63,444.77,-391.22,-235.46,-182.52,0
7204.563,319.60,1236.07,472.56,-357.33,-236.89,-189.14,0
7204.688,319.60,1236.07,472.56,-357.33,-236.89,-189.14,0
7205.454,314.97,1313.35,450.05,-393.12,-230.14,-201.24,0
7205.501,318.65,1222.49,410.70,-352.48,-235.53,-160.77,0
7205.548,319.76,1257.24,467.83,-365.33,-232.80,-204.48,0
7205.595,319.76,1257.24,467.83,-365.33,-232.80,-204.48,0
7205.657,319.79,1249.31,433.06,-369.45,-238.31,-185.07,0
7206.293,311.14,1261.13,445.04,-376.19,-231.46,-185.04,0
7206.387,309.52,1258.09,377.91,-368.93,-235.07,-163.38,0
7206.434,309.52,1258.09,377.91,-368.93,-235.07,-163.38,0
7206.527,312.26,1244.77,415.31,-362.65,-234.60,-184.31,0
7206.59,311.29,1279.87,443.98,-379.10,-230.87,-194.41,0
7206.715,312.09,1305.44,489.75,-386.26,-228.99,-217.74,0
7206.777,316.08,1261.99,456.65,-380.14,-232.65,-201.20,0
7206.856,304.51,1287.34,407.65,-381.41,-230.58,-174.10,0
7206.902,312.51,1296.27,448.58,-392.12,-231.39,-200.77,0
7207.168,312.51,1296.27,448.58,-392.12,-231.39,-200.77,0
7207.199,309.59,1305.03,458.20,-392.69,-228.95,-203.17,0
7207.262,305.66,1280.02,405.50,-381.94,-232.47,-173.78,0
7207.293,314.12,1265.69,452.30,-373.69,-232.26,-199.67,0
7207.34,314.12,1265.69,452.30,-373.69,-232.26,-199.67,0
7207.387,316.89,1256.19,462.42,-369.81,-233.67,-193.59,0
7207.434,316.89,1256.19,462.42,-369.81,-233.67,-193.59,0
7207.465,309.73,1267.70,443.46,-377.23,-231.21,-190.99,0
7207.512,309.73,1267.70,443.46,-377.23,-231.21,-190.99,0
7207.559,316.55,1244.51,443.03,-361.59,-232.61,-187.37,0
7207.606,316.55,1244.51,443.03,-361.59,-232.61,-187.37,0
7207.653,312.98,1271.78,431.92,-374.95,-230.96,-186.89,0
7207.699,312.98,1271.78,431.92,-374.95,-230.96,-186.89,0
7207.746,312.68,1293.69,450.63,-388.99,-230.97,-192.05,0
7207.824,309.67,1266.98,409.77,-372.96,-233.31,-178.95,0
7207.871,309.67,1266.98,409.77,-372.96,-233.31,-178.95,0
7207.918,314.63,1271.27,434.68,-373.82,-232.57,-189.10,0
7207.949,314.63,1271.27,434.68,-373.82,-232.57,-189.10,0
7207.996,316.00,1292.95,418.58,-386.27,-229.70,-167.74,0
7208.043,316.00,1292.95,418.58,-386.27,-229.70,-167.74,0
7208.09,319.79,1239.35,452.32,-373.52,-229.76,-184.16,0
7208.137,319.91,1241.67,434.24,-369.95,-230.63,-184.29,0
7208.179,319.91,1241.67,434.24,-369.95,-230.63,-184.29,0
7208.226,317.58,1271.20,434.67,-380.95,-229.95,-185.66,0
7208.273,317.58,1271.20,434.67,-380.95,-229.95,-185.66,0
7208.367,317.28,1258.18,426.71,-374.31,-231.22,-180.81,0
