set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8867.157,414.88,468.39,1325.39,0
8867.188,414.88,468.39,1325.39,0
8867.235,410.42,464.85,1289.55,0
8867.266,410.42,464.85,1289.55,0
8867.313,409.10,446.18,1277.78,0
8867.344,409.10,446.18,1277.78,0
8867.391,401.88,508.90,1289.67,0
8867.422,401.88,508.90,1289.67,0
8867.469,401.52,515.74,1313.31,0
8867.5,401.52,515.74,1313.31,0
8867.547,402.99,494.16,1296.92,0
8867.579,402.99,494.16,1296.92,0
8867.625,402.99,494.16,1296.92,0
8867.657,403.65,492.99,1267.70,0
8867.704,403.65,492.99,1267.70,0
8867.735,407.95,473.74,1306.99,0
8867.782,407.95,473.74,1306.99,0
8867.813,409.56,465.49,1326.45,0
8867.86,409.56,465.49,1326.45,0
8867.891,403.26,482.04,1270.13,0
8867.938,403.26,482.04,1270.13,0
8867.985,403.04,515.76,1314.01,0
8868.032,403.04,515.76,1314.01,0
8868.079,405.05,458.56,1316.06,0
8868.125,405.05,458.56,1316.06,0
8868.157,407.25,448.95,1288.62,0
8868.199,407.25,448.95,1288.62,0
8868.246,404.86,483.34,1290.56,0
8868.293,404.86,483.34,1290.56,0
8868.339,407.62,480.02,1284.31,0
8868.386,407.62,480.02,1284.31,0
8868.433,406.99,486.92,1276.03,0
8868.464,406.99,486.92,1276.03,0
8868.527,404.21,507.72,1272.09,0
8868.574,408.55,502.55,1297.01,0
8868.605,408.55,502.55,1297.01,0
8868.652,408.12,485.99,1273.82,0
8868.699,408.12,485.99,1273.82,0
8868.73,407.17,466.88,1272.53,0
8868.761,407.17,466.88,1272.53,0
8868.808,407.17,466.88,1272.53,0
8868.839,405.68,479.92,1286.81,0
8868.886,405.68,479.92,1286.81,0
8868.918,404.11,478.54,1281.55,0
8868.964,404.11,478.54,1281.55,0
8868.996,402.96,507.61,1268.60,0
8869.074,407.87,460.17,1326.61,0
8869.121,407.87,460.17,1326.61,0
8869.152,406.00,509.34,1278.63,0
8869.199,406.00,509.34,1278.63,0
8869.23,405.93,468.80,1299.31,0
8869.277,405.93,468.80,1299.31,0
8869.324,402.92,497.35,1292.31,0
8869.355,402.92,497.35,1292.31,0
8869.386,402.92,497.35,1292.31,0
8869.433,404.99,492.65,1304.71,0
8869.464,404.99,492.65,1304.71,0
8869.511,408.26,471.67,1296.14,0
8869.558,408.26,471.67,1296.14,0
8869.605,405.39,515.82,1297.28,0
8869.636,405.39,515.82,1297.28,0
8869.683,409.28,454.46,1291.67,0
8869.714,409.28,454.46,1291.67,0
8869.761,408.16,453.89,1321.27,0
8869.793,408.16,453.89,1321.27,0
8869.839,409.41,455.34,1300.93,0
8869.871,409.41,455.34,1300.93,0
8869.918,407.06,481.88,1312.40,308.81
8869.949,407.06,481.88,1312.40,0
8869.996,412.98,465.92,1003.59,0
8870.027,412.98,465.92,1003.59,0
8870.074,411.88,452.23,390.98,0
8870.121,411.88,452.23,390.98,0
8870.152,409.87,522.03,365.08,0
8870.195,409.87,522.03,365.08,0
8870.241,405.47,527.77,401.69,0
8870.273,405.47,527.77,401.69,0
8870.304,405.47,527.77,401.69,0
8870.351,412.51,470.15,440.92,0
8870.382,412.51,470.15,440.92,0
8870.429,414.25,455.37,377.14,0
8870.46,414.25,455.37,377.14,0
8870.507,416.05,464.88,390.57,0
8870.538,416.05,464.88,390.57,0
8870.585,409.70,516.26,367.88,0
8870.648,409.70,516.26,367.88,0
8870.679,418.20,460.02,430.37,0
8870.71,418.20,460.02,430.37,0
8870.757,417.47,476.10,457.26,0
8870.788,417.47,476.10,457.26,0
8870.835,415.04,493.11,410.15,0
