set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8640.299,429.25,520.60,462.17,0
8640.353,424.85,516.68,475.14,0
8640.385,424.85,516.68,475.14,0
8640.423,424.28,534.95,463.14,0
8640.454,424.28,534.95,463.14,0
8640.501,423.72,499.66,445.51,0
8640.54,423.72,499.66,445.51,0
8640.572,435.13,507.92,463.31,0
8640.626,435.13,507.92,463.31,0
8640.657,437.22,482.99,478.94,0
8640.704,437.22,482.99,478.94,0
8640.735,425.89,488.68,432.71,0
8640.782,425.89,488.68,432.71,0
8640.813,420.39,537.92,436.21,0
8640.86,420.39,537.92,436.21,0
8640.907,428.70,495.24,450.58,0
8640.954,428.70,495.24,450.58,0
8640.985,424.49,503.04,448.15,0
8641.032,424.49,503.04,448.15,0
8641.079,427.35,500.54,458.15,0
8641.11,427.35,500.54,458.15,0
8641.142,427.35,500.54,458.15,0
8641.189,426.49,503.26,453.10,0
8641.22,426.49,503.26,453.10,0
8641.252,428.30,475.25,458.36,0
8641.314,428.30,475.25,458.36,0
8641.345,424.63,481.64,423.94,0
8641.392,424.63,481.64,423.94,0
8641.439,425.09,507.94,507.26,0
8641.486,428.53,483.77,486.60,0
8641.533,428.53,483.77,486.60,0
8641.564,427.17,509.58,488.40,0
8641.595,427.17,509.58,488.40,0
8641.642,427.17,509.58,488.40,0
8641.673,422.58,504.42,420.62,0
8641.72,422.58,504.42,420.62,0
8641.752,435.10,502.31,443.37,0
8641.798,435.10,502.31,443.37,0
8641.83,424.66,460.29,457.76,0
8641.877,424.66,460.29,457.76,0
8641.908,431.30,511.75,468.48,0
8641.939,431.30,511.75,468.48,0
8641.986,430.03,523.77,472.06,0
8642.017,430.03,523.77,472.06,0
8642.064,430.03,523.77,472.06,0
8642.111,426.45,509.67,479.74,0
8642.142,426.45,509.67,479.74,0
8642.2,426.89,478.76,482.79,0
8642.247,427.93,464.92,443.73,0
8642.278,427.93,464.92,443.73,0
8642.325,424.74,512.03,459.95,0
8642.356,424.74,512.03,459.95,0
8642.403,424.74,512.03,459.95,0
8642.434,427.92,476.90,500.36,0
8642.497,430.47,472.20,496.05,0
